Iteration,Odd Object,Weight,All Objects,,TEST
116,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
117,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
118,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
119,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
120,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
121,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
122,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
123,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
124,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
125,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
126,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
127,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
128,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
129,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
130,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
131,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
132,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
133,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
134,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
135,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
136,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
137,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
138,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
139,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
140,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
141,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
142,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
143,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
144,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
145,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
146,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
147,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
148,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
149,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
150,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
151,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
152,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
153,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
154,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
155,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
156,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
157,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
158,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
159,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
160,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
161,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
162,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
163,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
164,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
165,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
166,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
167,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
168,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
169,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
170,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
171,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
172,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
173,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
174,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
175,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
176,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
177,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
178,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
179,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
180,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
181,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
182,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
183,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
184,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
185,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
186,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
187,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
188,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
189,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
190,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
191,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
192,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
193,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
194,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
195,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
196,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
197,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
198,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
199,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
200,6,Heavier,[2 2 2 2 2 3 2 2 2 2 2 2],,PASS
201,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
202,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
203,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
204,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
205,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
206,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
207,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
208,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
209,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
210,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
211,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
212,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
213,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
214,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
215,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
216,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
217,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
218,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
219,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
220,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
221,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
222,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
223,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
224,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
225,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
226,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
227,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
228,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
229,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
230,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
231,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
232,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
233,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
234,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
235,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
236,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
237,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
238,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
239,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
240,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
241,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
242,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
243,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
244,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
245,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
246,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
247,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
248,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
249,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
250,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
251,11,Lighter,[2 2 2 2 2 2 2 2 2 2 1 2],,PASS
252,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
253,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
254,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
255,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
256,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
257,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
258,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
259,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
260,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
261,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
262,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
263,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
264,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
265,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
266,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
267,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
268,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
269,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
270,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
271,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
272,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
273,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
274,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
275,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
276,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
277,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
278,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
279,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
280,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
281,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
282,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
283,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
284,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
285,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
286,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
287,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
288,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
289,10,Heavier,[2 2 2 2 2 2 2 2 2 3 2 2],,PASS
290,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
291,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
292,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
293,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
294,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
295,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
296,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
297,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
298,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
299,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
300,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
301,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
302,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
303,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
304,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
305,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
306,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
307,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
308,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
309,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
310,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
311,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
312,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
313,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
314,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
315,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
316,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
317,3,Heavier,[2 2 3 2 2 2 2 2 2 2 2 2],,PASS
318,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
319,8,Lighter,[2 2 2 2 2 2 2 1 2 2 2 2],,PASS
320,11,Heavier,[2 2 2 2 2 2 2 2 2 2 3 2],,PASS
321,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
322,9,Lighter,[2 2 2 2 2 2 2 2 1 2 2 2],,PASS
323,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
324,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
325,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
326,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
327,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
328,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
329,3,Lighter,[2 2 1 2 2 2 2 2 2 2 2 2],,PASS
330,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
331,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
332,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
333,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
334,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
335,8,Heavier,[2 2 2 2 2 2 2 3 2 2 2 2],,PASS
336,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
337,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
338,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
339,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
340,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
341,12,Lighter,[2 2 2 2 2 2 2 2 2 2 2 1],,PASS
342,1,Heavier,[3 2 2 2 2 2 2 2 2 2 2 2],,PASS
343,10,Lighter,[2 2 2 2 2 2 2 2 2 1 2 2],,PASS
344,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
345,4,Heavier,[2 2 2 3 2 2 2 2 2 2 2 2],,PASS
346,2,Lighter,[2 1 2 2 2 2 2 2 2 2 2 2],,PASS
347,4,Lighter,[2 2 2 1 2 2 2 2 2 2 2 2],,PASS
348,7,Lighter,[2 2 2 2 2 2 1 2 2 2 2 2],,PASS
349,6,Lighter,[2 2 2 2 2 1 2 2 2 2 2 2],,PASS
350,12,Heavier,[2 2 2 2 2 2 2 2 2 2 2 3],,PASS
351,1,Lighter,[1 2 2 2 2 2 2 2 2 2 2 2],,PASS
352,5,Lighter,[2 2 2 2 1 2 2 2 2 2 2 2],,PASS
353,2,Heavier,[2 3 2 2 2 2 2 2 2 2 2 2],,PASS
354,5,Heavier,[2 2 2 2 3 2 2 2 2 2 2 2],,PASS
355,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
356,9,Heavier,[2 2 2 2 2 2 2 2 3 2 2 2],,PASS
357,7,Heavier,[2 2 2 2 2 2 3 2 2 2 2 2],,PASS
